#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
.1.3.6.1.4.1.9.1.273,,SWITCH,Switch,Cisco,cisco12016,cisco12000
.1.3.6.1.4.1.9.1.274,,SWITCH,Switch,Cisco,ciscoAs5400
.1.3.6.1.4.1.9.1.275,,SWITCH,Switch,Cisco,catalyst2900,cat2948gL3
.1.3.6.1.4.1.9.1.276,,SWITCH,Switch,Cisco,cisco7140Octt1,cisco7140
.1.3.6.1.4.1.9.1.277,,SWITCH,Switch,Cisco,cisco7140Dualfe,cisco7140
.1.3.6.1.4.1.9.1.278,,SWITCH,Switch,Cisco,cat3548XL,catalyst3500
.1.3.6.1.4.1.9.1.279,,SWITCH,Switch,Cisco,ciscoVG200
.1.3.6.1.4.1.9.1.280,,SWITCH,Switch,Cisco,cat6006,catalyst6000
.1.3.6.1.4.1.9.1.281,,SWITCH,Switch,Cisco,cat6009,catalyst6000
.1.3.6.1.4.1.9.1.282,,SWITCH,Switch,Cisco,cat6506,catalyst6500
.1.3.6.1.4.1.9.1.283,,SWITCH,Switch,Cisco,cat6509,catalyst6500
.1.3.6.1.4.1.9.1.284,,SWITCH,Switch,Cisco,cisco827,cisco800
.1.3.6.1.4.1.9.1.285,,SWITCH,Switch,Cisco,ciscoManagementEngine1100
.1.3.6.1.4.1.9.1.286,,SWITCH,Switch,Cisco,ciscoMc3810V3
.1.3.6.1.4.1.9.1.287,,SWITCH,Switch,Cisco,cat3524tXLEn
.1.3.6.1.4.1.9.1.288,,SWITCH,Switch,Cisco,cisco7507z,cisco7500
.1.3.6.1.4.1.9.1.289,,SWITCH,Switch,Cisco,cisco7513z,cisco7500
.1.3.6.1.4.1.9.1.290,,SWITCH,Switch,Cisco,cisco7507mx,cisco7500
.1.3.6.1.4.1.9.1.291,,SWITCH,Switch,Cisco,cisco7513mx,cisco7500
.1.3.6.1.4.1.9.1.292,,SWITCH,Switch,Cisco,ciscoUBR912C,ciscoUBR
